 Area , Condition , Age Group , Sex , Year , Rate , Rate CV , Rate_95%_CI_Lower , Rate_95%_CI_Upper , Number , Population 
Canada,Diabetes,'80+',Both sexes,2010,25.28,0.16,25.2,25.36,"383,640","1,517,280"
Canada,Diabetes,'1+',Females,2010,7.06,0.09,7.04,7.07,"1,235,470","17,511,130"
Canada,Diabetes,'1-19',Females,2010,0.32,0.93,0.31,0.32,"11,540","3,633,220"
Canada,Diabetes,'20-34',Females,2010,1.19,0.49,1.18,1.2,"42,060","3,533,480"
Canada,Diabetes,'35-49',Females,2010,4.16,0.25,4.14,4.18,"160,210","3,848,930"
Canada,Diabetes,'50-64',Females,2010,10.79,0.16,10.75,10.82,"391,970","3,633,320"
Canada,Diabetes,'65-79',Females,2010,21.32,0.16,21.26,21.39,"408,650","1,916,520"
Canada,Diabetes,'80+',Females,2010,23.37,0.21,23.28,23.47,"221,040","945,670"
Canada,Diabetes,'1+',Males,2010,8.04,0.09,8.03,8.05,"1,377,260","17,130,890"
Canada,Diabetes,'1-19',Males,2010,0.34,0.88,0.33,0.34,"12,850","3,817,860"
Canada,Diabetes,'20-34',Males,2010,1.01,0.53,1,1.03,"36,070","3,554,690"
Canada,Diabetes,'35-49',Males,2010,4.69,0.24,4.67,4.71,"180,370","3,847,550"
Canada,Diabetes,'50-64',Males,2010,14.07,0.14,14.03,14.11,"505,080","3,590,310"
Canada,Diabetes,'65-79',Males,2010,27.46,0.14,27.39,27.54,"480,280","1,748,850"
Canada,Diabetes,'80+',Males,2010,28.45,0.25,28.31,28.59,"162,610","571,630"
Canada,Diabetes,'1+',Both sexes,2011,7.78,0.06,7.77,7.79,"2,731,010","35,119,990"
Canada,Diabetes,'1-19',Both sexes,2011,0.33,0.64,0.33,0.33,"24,660","7,462,100"
Canada,Diabetes,'20-34',Both sexes,2011,1.11,0.35,1.1,1.12,"80,200","7,216,030"
Canada,Diabetes,'35-49',Both sexes,2011,4.53,0.17,4.51,4.54,"346,990","7,661,930"
Canada,Diabetes,'50-64',Both sexes,2011,12.55,0.1,12.53,12.58,"926,550","7,381,990"
Canada,Diabetes,'65-79',Both sexes,2011,24.62,0.1,24.57,24.67,"944,290","3,834,830"
Canada,Diabetes,'80+',Both sexes,2011,26.12,0.16,26.04,26.2,"408,310","1,563,100"
Canada,Diabetes,'1+',Females,2011,7.26,0.09,7.25,7.28,"1,288,700","17,742,790"
Canada,Diabetes,'1-19',Females,2011,0.32,0.93,0.32,0.33,"11,680","3,638,150"
Canada,Diabetes,'20-34',Females,2011,1.2,0.48,1.18,1.21,"42,960","3,592,270"
Canada,Diabetes,'35-49',Females,2011,4.26,0.25,4.24,4.28,"163,380","3,833,530"
Canada,Diabetes,'50-64',Females,2011,10.92,0.16,10.89,10.96,"405,350","3,710,830"
Canada,Diabetes,'65-79',Females,2011,21.6,0.15,21.53,21.66,"432,100","2,000,580"
Canada,Diabetes,'80+',Females,2011,24.11,0.21,24.01,24.21,"233,230","967,440"
Canada,Diabetes,'1+',Males,2011,8.3,0.08,8.29,8.31,"1,442,300","17,377,180"
Canada,Diabetes,'1-19',Males,2011,0.34,0.88,0.33,0.35,"12,980","3,823,950"
Canada,Diabetes,'20-34',Males,2011,1.03,0.52,1.02,1.04,"37,240","3,623,760"
Canada,Diabetes,'35-49',Males,2011,4.8,0.23,4.77,4.82,"183,600","3,828,390"
Canada,Diabetes,'50-64',Males,2011,14.2,0.14,14.16,14.24,"521,210","3,671,160"
Canada,Diabetes,'65-79',Males,2011,27.92,0.14,27.85,28,"512,190","1,834,250"
Canada,Diabetes,'80+',Males,2011,29.39,0.24,29.26,29.53,"175,080","595,650"
Canada,Diabetes,'1+',Both sexes,2012,7.97,0.06,7.96,7.98,"2,837,810","35,617,090"
Canada,Diabetes,'1-19',Both sexes,2012,0.33,0.63,0.33,0.34,"24,840","7,478,150"
Canada,Diabetes,'20-34',Both sexes,2012,1.11,0.35,1.1,1.12,"81,720","7,345,020"
Canada,Diabetes,'35-49',Both sexes,2012,4.59,0.17,4.57,4.6,"349,370","7,619,230"
Canada,Diabetes,'50-64',Both sexes,2012,12.61,0.1,12.58,12.63,"951,800","7,548,720"
Canada,Diabetes,'65-79',Both sexes,2012,24.83,0.1,24.79,24.88,"997,610","4,017,080"
Canada,Diabetes,'80+',Both sexes,2012,26.88,0.15,26.8,26.96,"432,500","1,608,920"
Canada,Diabetes,'1+',Females,2012,7.43,0.09,7.42,7.45,"1,336,630","17,981,940"
Canada,Diabetes,'1-19',Females,2012,0.32,0.92,0.32,0.33,"11,830","3,645,640"
Canada,Diabetes,'20-34',Females,2012,1.19,0.48,1.18,1.2,"43,480","3,649,940"
Canada,Diabetes,'35-49',Females,2012,4.32,0.25,4.3,4.34,"164,770","3,813,090"
Canada,Diabetes,'50-64',Females,2012,10.99,0.15,10.95,11.02,"416,640","3,792,370"
Canada,Diabetes,'65-79',Females,2012,21.75,0.15,21.68,21.81,"454,910","2,091,870"
Canada,Diabetes,'80+',Females,2012,24.77,0.2,24.67,24.87,"245,000","989,030"
Canada,Diabetes,'1+',Males,2012,8.51,0.08,8.5,8.53,"1,501,180","17,635,150"
Canada,Diabetes,'1-19',Males,2012,0.34,0.88,0.33,0.35,"13,000","3,832,490"
Canada,Diabetes,'20-34',Males,2012,1.03,0.51,1.02,1.05,"38,240","3,695,070"
Canada,Diabetes,'35-49',Males,2012,4.85,0.23,4.83,4.87,"184,600","3,806,150"
Canada,Diabetes,'50-64',Males,2012,14.25,0.14,14.21,14.28,"535,150","3,756,330"
Canada,Diabetes,'65-79',Males,2012,28.19,0.14,28.11,28.26,"542,700","1,925,210"
Canada,Diabetes,'80+',Males,2012,30.25,0.23,30.11,30.38,"187,490","619,880"
Canada,Diabetes,'1+',Both sexes,2013,8.17,0.06,8.16,8.17,"2,946,140","36,081,740"
Canada,Diabetes,'1-19',Both sexes,2013,0.33,0.63,0.33,0.34,"25,020","7,499,150"
Canada,Diabetes,'20-34',Both sexes,2013,1.12,0.35,1.11,1.13,"83,570","7,451,440"
Canada,Diabetes,'35-49',Both sexes,2013,4.64,0.17,4.63,4.66,"351,650","7,576,180"
Canada,Diabetes,'50-64',Both sexes,2013,12.71,0.1,12.68,12.73,"980,130","7,711,830"
